,Sync committee reward,date
0,0.9979066540892716,2022-09-15
1,0.9981939916340492,2022-09-16
2,0.9985081809409004,2022-09-17
3,0.9988346712438754,2022-09-18
4,0.9988521762802771,2022-09-19
5,0.9985448890625666,2022-09-20
6,0.9982171518445375,2022-09-21
7,0.997883347380732,2022-09-22
8,0.9978028731022812,2022-09-23
9,0.9981136437842149,2022-09-24
10,0.9984376213379913,2022-09-25
11,0.9987668519577453,2022-09-26
12,0.9988695795322764,2022-09-27
13,0.9986339662088484,2022-09-28
14,0.9983096395828608,2022-09-29
15,0.9980025649881696,2022-09-30
16,0.9977472169055059,2022-10-01
17,0.9980443231926859,2022-10-02
18,0.9983790270198025,2022-10-03
19,0.9987064390760783,2022-10-04
20,0.9988739162432168,2022-10-05
21,0.9987260665910782,2022-10-06
22,0.9984118049474973,2022-10-07
23,0.9981062139521473,2022-10-08
24,0.9977818680663715,2022-10-09
25,0.997982060865281,2022-10-10
26,0.9982966781479612,2022-10-11
27,0.9986123510978668,2022-10-12
28,0.9988723572088474,2022-10-13
29,0.998821489525096,2022-10-14
30,0.9984941442896971,2022-10-15
31,0.9981775749042336,2022-10-16
32,0.9978788673914014,2022-10-17
33,0.9979221305840986,2022-10-18
34,0.9982458259768427,2022-10-19
35,0.9985662955865082,2022-10-20
36,0.998858025879148,2022-10-21
37,0.9988800485169698,2022-10-22
38,0.9985958558654431,2022-10-23
39,0.9982869435359307,2022-10-24
40,0.997978913426143,2022-10-25
41,0.9978540924067252,2022-10-26
42,0.9981924813446166,2022-10-27
43,0.9984931885933608,2022-10-28
44,0.9987989216235453,2022-10-29
45,0.99890903337234,2022-10-30
46,0.9987120930815128,2022-10-31
47,0.9984065729941198,2022-11-01
48,0.9980984918081759,2022-11-02
49,0.9978325425786556,2022-11-03
50,0.9981312665432225,2022-11-04
51,0.9984383192619966,2022-11-05
52,0.9987424297355936,2022-11-06
53,0.9989171069690279,2022-11-07
54,0.9987963645501712,2022-11-08
55,0.9984937892622976,2022-11-09
56,0.9982106548637926,2022-11-10
57,0.9979074516436957,2022-11-11
58,0.9980683796089411,2022-11-12
59,0.9983752206127205,2022-11-13
60,0.9986841463515295,2022-11-14
61,0.9989390302847421,2022-11-15
