,Proposer reward,date
0,0.00019980851381608605,2022-09-15
1,0.00014435250312911532,2022-09-16
2,0.00014397778409858475,2022-09-17
3,0.00014402134803379643,2022-09-18
4,0.00014320021092413676,2022-09-19
5,0.00014352615106238108,2022-09-20
6,0.00014573725507870775,2022-09-21
7,0.00014311003647484152,2022-09-22
8,0.00014485285633405046,2022-09-23
9,0.00014252853362801333,2022-09-24
10,0.00014245627459646477,2022-09-25
11,0.00014303515789986253,2022-09-26
12,0.00014288193798911452,2022-09-27
13,0.00014275336443428545,2022-09-28
14,0.0001433145707804013,2022-09-29
15,0.00014241710782218427,2022-09-30
16,0.00014363973127768897,2022-10-01
17,0.00014189562515650218,2022-10-02
18,0.00014251193624950387,2022-10-03
19,0.00014297469550265534,2022-10-04
20,0.00014318287337256077,2022-10-05
21,0.00014282973542618764,2022-10-06
22,0.0001434767039560695,2022-10-07
23,0.00014284779248255813,2022-10-08
24,0.00014293234486034053,2022-10-09
25,0.00014313765005816455,2022-10-10
26,0.00014278653293440968,2022-10-11
27,0.00014235576262363543,2022-10-12
28,0.0001429213729693582,2022-10-13
29,0.0001424474471102996,2022-10-14
30,0.00014231299909134258,2022-10-15
31,0.00014260690269286825,2022-10-16
32,0.00014259662198772024,2022-10-17
33,0.00014247381151153598,2022-10-18
34,0.0001432138273979533,2022-10-19
35,0.0001425906933940865,2022-10-20
36,0.00014354514482297246,2022-10-21
37,0.00014320119341898132,2022-10-22
38,0.0001428404355306227,2022-10-23
39,0.00014436233327650048,2022-10-24
40,0.00014294959760845262,2022-10-25
41,0.0001430500348927715,2022-10-26
42,0.0001422463274364283,2022-10-27
43,0.00014271726229535614,2022-10-28
44,0.00014293217504552215,2022-10-29
45,0.00014193935451072776,2022-10-30
46,0.00014236782706394404,2022-10-31
47,0.00014305540113757073,2022-11-01
48,0.00014293804498111658,2022-11-02
49,0.00014285848393403588,2022-11-03
50,0.00014265332027921522,2022-11-04
51,0.00014276708112592024,2022-11-05
52,0.00014230453258720033,2022-11-06
53,0.00014255751176732697,2022-11-07
54,0.00014231889919950522,2022-11-08
55,0.00014324950070330772,2022-11-09
56,0.00014207331110056544,2022-11-10
57,0.00014293975578622583,2022-11-11
58,0.00014237199223878912,2022-11-12
59,0.00014222059813738888,2022-11-13
60,0.00014247327383419222,2022-11-14
61,0.0001427692410086806,2022-11-15
