date,proposer
2022-09-15,5032.943365649147
2022-09-16,6987.98043376427
2022-09-17,7008.8029943800175
2022-09-18,7007.644781176698
2022-09-19,7034.310623111826
2022-09-20,7024.2293853507945
2022-09-21,6938.19006882062
2022-09-22,7041.506806458512
2022-09-23,7033.555685859729
2022-09-24,7064.06545571147
2022-09-25,7065.429339304074
2022-09-26,7042.659860519009
2022-09-27,7046.974405013555
2022-09-28,7056.274607334732
2022-09-29,7038.339476707992
2022-09-30,7067.49979589142
2022-10-01,7023.573743924156
2022-10-02,7091.072556769446
2022-10-03,7062.217788881957
2022-10-04,7044.775630564457
2022-10-05,7037.482093909753
2022-10-06,7051.937098562909
2022-10-07,7029.226676197456
2022-10-08,7055.021990790004
2022-10-09,7049.064723013436
2022-10-10,7043.562720213367
2022-10-11,7055.211833842288
2022-10-12,7069.805287492081
2022-10-13,7046.097657991019
2022-10-14,7064.712085344505
2022-10-15,7071.628998734297
2022-10-16,7062.783933750493
2022-10-17,7059.719847777327
2022-10-18,7066.051669083474
2022-10-19,7040.271051726204
2022-10-20,7063.12181141301
2022-10-21,7030.037042767401
2022-10-22,7041.9891693721975
2022-10-23,7053.763154496398
2022-10-24,6990.234124109384
2022-10-25,7046.446766075126
2022-10-26,7047.418793877753
2022-10-27,7073.256713939428
2022-10-28,7055.456395677478
2022-10-29,7047.069200606182
2022-10-30,7086.100013471466
2022-10-31,7069.088964459953
2022-11-01,7043.68658979631
2022-11-02,7048.840138205577
2022-11-03,7052.602567996544
2022-11-04,7060.702081172676
2022-11-05,7058.50024102945
2022-11-06,7074.769640764045
2022-11-07,7065.182797807172
2022-11-08,7073.412970324092
2022-11-09,7035.901175739688
2022-11-10,7080.721837317093
2022-11-11,7049.638955958552
2022-11-12,7070.876506894853
2022-11-13,7077.030896310475
2022-11-14,7070.763586626593
2022-11-15,7053.631594071484
2022-11-16,7066.670413371116
2022-11-17,7077.858794144508
2022-11-18,7050.122614846279
2022-11-19,7078.251527370861
2022-11-20,7086.336015419139
2022-11-21,7059.73306010462
2022-11-22,7042.458767047567
2022-11-23,7051.695229787511
2022-11-24,7074.9124090131945
2022-11-25,7050.627978992827
2022-11-26,7066.371572034995
2022-11-27,7067.174478235249
2022-11-28,7074.055392055173
2022-11-29,7068.77873494012
2022-11-30,7056.742861336109
2022-12-01,7073.40344308763
2022-12-02,7085.569215777497
2022-12-03,7066.816164987485
2022-12-04,7052.323180583454
2022-12-05,7049.485310004011
2022-12-06,7066.773200090551
2022-12-07,6974.547510377809
2022-12-08,7057.970963389763
2022-12-09,7052.065604410569
2022-12-10,7071.850163150084
2022-12-11,7072.198574448948
2022-12-12,7059.564409416947
2022-12-13,7053.23696258218
2022-12-14,7086.212441258908
2022-12-15,7070.263961996993
2022-12-16,7085.103008219815
2022-12-17,7079.107331696848
2022-12-18,7060.20830819444
2022-12-19,7058.479674571199
2022-12-20,7082.939623808979
2022-12-21,7062.646416337899
2022-12-22,7084.058517031432
2022-12-23,7081.808486213441
2022-12-24,7074.902669194288
2022-12-25,7081.199803066494
2022-12-26,7090.330632175029
2022-12-27,7054.174242997557
2022-12-28,7081.867638170861
2022-12-29,7062.408101244035
2022-12-30,7052.7254570850455
2022-12-31,7074.557301524205
2023-01-01,7071.9464555378045
2023-01-02,7085.475896565868
2023-01-03,7078.278098377896
2023-01-04,7084.178207991998
2023-01-05,7069.870040142682
2023-01-06,7066.945057809548
2023-01-07,7069.588681288824
2023-01-08,7084.059272707778
2023-01-09,7082.374414830664
2023-01-10,7078.013073590362
2023-01-11,7077.164409193463
2023-01-12,7073.135140606263
2023-01-13,7080.2514717833255
2023-01-14,7074.98563703458
2023-01-15,7056.672298040015
2023-01-16,7060.372835899178
2023-01-17,7094.004643215754
2023-01-18,7074.948144091153
2023-01-19,7082.066720118974
2023-01-20,7092.833182389063
2023-01-21,7076.65737112128
2023-01-22,7070.839790209454
2023-01-23,7085.047315235949
2023-01-24,7075.493144544832
2023-01-25,7064.330720962467
2023-01-26,7090.490243065182
2023-01-27,7081.254227200827
2023-01-28,7083.221742636757
2023-01-29,7084.097748639442
2023-01-30,7061.183300654702
2023-01-31,7084.417100806852
2023-02-01,7083.734118799793
2023-02-02,7047.625793408299
2023-02-03,7080.689063095769
2023-02-04,7093.266460915243
2023-02-05,7089.832833659394
2023-02-06,7108.450872058985
2023-02-07,7064.800628747414
2023-02-08,7062.608197460708
2023-02-09,7076.157551604456
2023-02-10,7079.432309952258
2023-02-11,7056.836004958816
2023-02-12,7094.07203113468
2023-02-13,7081.55211657759
2023-02-14,7059.749322821229
2023-02-15,7086.455993222075
2023-02-16,7092.143484723577
2023-02-17,7001.699310293562
2023-02-18,7027.908159225933
2023-02-19,7018.2616751927335
2023-02-20,7032.882180525136
2023-02-21,7029.824464730932
2023-02-22,6996.340813226775
2023-02-23,7032.948610832382
2023-02-24,6994.828815264375
2023-02-25,7026.697226424897
2023-02-26,7041.067537655339
2023-02-27,7059.61387742802
2023-02-28,7012.018714211283
2023-03-01,7039.634650963142
2023-03-02,7010.487755922571
2023-03-03,7002.917012733038
2023-03-04,7016.700939683216
2023-03-05,7012.327084452817
2023-03-06,7034.652638830871
2023-03-07,7026.380624498843
2023-03-08,7011.916726211834
2023-03-09,7018.934523179869
2023-03-10,6987.656103349696
2023-03-11,7038.681844847755
2023-03-12,7007.751223726341
2023-03-13,7021.592678482023
2023-03-14,7036.820620593632
2023-03-15,6993.597259675764
2023-03-16,7035.818915457395
2023-03-17,7045.661109533579
2023-03-18,7031.163983947692
