date,attestation
2023-05-05,277941.0
2023-05-06,278064.0
2023-05-07,278115.0
2023-05-08,278029.0
2023-05-09,278797.0
2023-05-10,279012.0
2023-05-11,278604.0
2023-05-12,276243.0
2023-05-13,280099.0
2023-05-14,281020.0
2023-05-15,282278.0
2023-05-16,283131.0
2023-05-17,284318.0
2023-05-18,284856.0
2023-05-19,285497.0
2023-05-20,285988.0
2023-05-21,287117.0
2023-05-22,287839.0
2023-05-23,288362.0
2023-05-24,289229.0
2023-05-25,289712.0
2023-05-26,290819.0
2023-05-27,291995.0
2023-05-28,292623.0
2023-05-29,293439.0
2023-05-30,293969.0
2023-05-31,294642.0
2023-06-01,295503.0
2023-06-02,295884.0
2023-06-03,296904.0
2023-06-04,297687.0
2023-06-05,298248.0
2023-06-06,299525.0
2023-06-07,299762.0
2023-06-08,299803.0
2023-06-09,300223.0
2023-06-10,301691.0
2023-06-11,302201.0
2023-06-12,302585.0
2023-06-13,303157.0
2023-06-14,303454.0
2023-06-15,304061.0
2023-06-16,304932.0
2023-06-17,305900.0
2023-06-18,307069.0
2023-06-19,307346.0
2023-06-20,307908.0
2023-06-21,308992.0
2023-06-22,309857.0
2023-06-23,310520.0
2023-06-24,311626.0
2023-06-25,312605.0
2023-06-26,313310.0
2023-06-27,314067.0
2023-06-28,315717.0
2023-06-29,316632.0
2023-06-30,316839.0
2023-07-01,317955.0
2023-07-02,319367.0
2023-07-03,319727.0
2023-07-04,320785.0
2023-07-05,322058.0
2023-07-06,322488.0
2023-07-07,323474.0
2023-07-08,323891.0
2023-07-09,324547.0
2023-07-10,325153.0
2023-07-11,325955.0
2023-07-12,327064.0
2023-07-13,328213.0
2023-07-14,328661.0
2023-07-15,330035.0
2023-07-16,331240.0
2023-07-17,332442.0
2023-07-18,333530.0
2023-07-19,334598.0
2023-07-20,335527.0
2023-07-21,336428.0
2023-07-22,337968.0
2023-07-23,338663.0
2023-07-24,339557.0
2023-07-25,340489.0
2023-07-26,341813.0
2023-07-27,342803.0
2023-07-28,343887.0
2023-07-29,344835.0
2023-07-30,345580.0
2023-07-31,346949.0
2023-08-01,348285.0
2023-08-02,348918.0
2023-08-03,349199.0
2023-08-04,350732.0
2023-08-05,351438.0
2023-08-06,352494.0
2023-08-07,353141.0
2023-08-08,354210.0
2023-08-09,355021.0
2023-08-10,355978.0
2023-08-11,356857.0
2023-08-12,358530.0
2023-08-13,359855.0
2023-08-14,360393.0
2023-08-15,361875.0
2023-08-16,362946.0
2023-08-17,363591.0
2023-08-18,364193.0
