date,total
2022-09-15,0.1758793419107285
2022-09-16,0.1752816461139559
2022-09-17,0.1697816922817507
2022-09-18,0.1683054349648474
2022-09-19,0.1659726241236572
2022-09-20,0.1655757543813414
2022-09-21,0.1667178739566233
2022-09-22,0.1640613807651139
2022-09-23,0.1650706230087075
2022-09-24,0.1641761913154626
2022-09-25,0.1628547162354092
2022-09-26,0.1640356927709958
2022-09-27,0.1652734642405484
2022-09-28,0.1627342717902609
2022-09-29,0.163332110218658
2022-09-30,0.1631398859493513
2022-10-01,0.1691304425479785
2022-10-02,0.1630280191235762
2022-10-03,0.1652230184946219
2022-10-04,0.1672085986330831
2022-10-05,0.1672173300505997
2022-10-06,0.1640787460034591
2022-10-07,0.1680248548386025
2022-10-08,0.1632479544271918
2022-10-09,0.1616076133515314
2022-10-10,0.1619861487517835
2022-10-11,0.1622450720015174
2022-10-12,0.1622793584579722
2022-10-13,0.1637833525364123
2022-10-14,0.1621944059308027
2022-10-15,0.1619567851396728
2022-10-16,0.1617908052897563
2022-10-17,0.1642729178035959
2022-10-18,0.1631774334745468
2022-10-19,0.1658817170001849
2022-10-20,0.1638009348701961
2022-10-21,0.162883356282232
2022-10-22,0.1626652634345433
2022-10-23,0.1626859987427844
2022-10-24,0.1707117559486468
2022-10-25,0.1690952050338585
2022-10-26,0.1634870297604795
2022-10-27,0.1635102523793623
2022-10-28,0.1657773362336831
2022-10-29,0.1656956243128144
2022-10-30,0.162987693052435
2022-10-31,0.1631441877017159
2022-11-01,0.1697709690205544
2022-11-02,0.163637056450856
2022-11-03,0.1633273105496859
2022-11-04,0.163400980072045
2022-11-05,0.1635629790923174
2022-11-06,0.1616878680156441
2022-11-07,0.162053546241109
2022-11-08,0.161954557356045
2022-11-09,0.164849152668854
2022-11-10,0.1625497787801375
2022-11-11,0.1632096685670636
2022-11-12,0.162857167339538
2022-11-13,0.1623232262854936
2022-11-14,0.1652175389756589
2022-11-15,0.1661169715802708
2022-11-16,0.1655927050943677
2022-11-17,0.1637967132467794
2022-11-18,0.1647774062119507
2022-11-19,0.1639147130676088
2022-11-20,0.1625896114663081
2022-11-21,0.1632658142139573
2022-11-22,0.1635303863634594
2022-11-23,0.1658323003891155
2022-11-24,0.1636494775300332
2022-11-25,0.1636443175685342
2022-11-26,0.1621709933146287
2022-11-27,0.1620612377404218
2022-11-28,0.1616417090929114
2022-11-29,0.1624917180964848
2022-11-30,0.1640163798925882
2022-12-01,0.1625582723606311
2022-12-02,0.1631202937079152
2022-12-03,0.1631676367386518
2022-12-04,0.1619155905596505
2022-12-05,0.162283470940411
2022-12-06,0.1620616198024038
2022-12-07,0.1867397653537903
2022-12-08,0.1625278802618941
2022-12-09,0.1647772157668774
2022-12-10,0.1621667027846991
2022-12-11,0.1617436990842404
2022-12-12,0.1623116728975124
2022-12-13,0.1618690771988209
2022-12-14,0.1614734628704253
2022-12-15,0.1615905106936974
2022-12-16,0.1613057026033366
2022-12-17,0.1622290749741799
2022-12-18,0.1641301763561975
2022-12-19,0.1616072200944547
2022-12-20,0.1606861406737889
2022-12-21,0.1611895928425748
2022-12-22,0.1618027024626995
2022-12-23,0.1609011603942773
2022-12-24,0.1618597177507501
2022-12-25,0.1606471813345489
2022-12-26,0.1622205149021052
2022-12-27,0.1613686549840498
2022-12-28,0.1615808707866517
2022-12-29,0.1610946620585431
2022-12-30,0.1613916386762823
2022-12-31,0.1616893631826161
2023-01-01,0.1611549368010665
2023-01-02,0.1613949931570191
2023-01-03,0.1619881169651627
2023-01-04,0.1615494140291615
2023-01-05,0.1632488541094974
2023-01-06,0.1619057279478908
2023-01-07,0.1622212641338762
2023-01-08,0.1611331583653035
2023-01-09,0.1633739985058835
2023-01-10,0.1636789808647907
2023-01-11,0.1648397020069634
2023-01-12,0.1665310430904127
2023-01-13,0.1641837252154645
2023-01-14,0.163985496375564
2023-01-15,0.1647235522297157
2023-01-16,0.1633006817934301
2023-01-17,0.1608705685362939
2023-01-18,0.1619090440433923
2023-01-19,0.1619617874466254
2023-01-20,0.1618922735424239
2023-01-21,0.1616543490792206
2023-01-22,0.1615761156246713
2023-01-23,0.160839408354217
2023-01-24,0.1620143020030224
2023-01-25,0.161963890767546
2023-01-26,0.1621047570112932
2023-01-27,0.1625484563054455
2023-01-28,0.1617777089731102
2023-01-29,0.1616159691965535
2023-01-30,0.1614562111927266
2023-01-31,0.1620289705848792
2023-02-01,0.1625222902403762
2023-02-02,0.1633478397919696
2023-02-03,0.1625403633993274
2023-02-04,0.1606290602823987
2023-02-05,0.1614300502154844
2023-02-06,0.1611097173137141
2023-02-07,0.1614789026336749
2023-02-08,0.1613746940000817
2023-02-09,0.162009343434702
2023-02-10,0.1630823776679071
2023-02-11,0.1625335037287851
2023-02-12,0.1632603826146736
2023-02-13,0.1626254452222388
2023-02-14,0.1640223372965701
2023-02-15,0.164446685739203
2023-02-16,0.1643805776271252
2023-02-17,0.1702985625990474
2023-02-18,0.1641530634474284
2023-02-19,0.1633113588247727
2023-02-20,0.162001843079969
2023-02-21,0.1635347427451094
2023-02-22,0.1628922524723177
2023-02-23,0.1620343793348131
2023-02-24,0.1614727628706727
2023-02-25,0.1613274057793763
2023-02-26,0.162381460055927
2023-02-27,0.1627713119388725
2023-02-28,0.1627499349794154
2023-03-01,0.1627883366845648
2023-03-02,0.1632199885573968
2023-03-03,0.1639082122571475
2023-03-04,0.1641661397840566
2023-03-05,0.1632620548953105
2023-03-06,0.1623963973280273
2023-03-07,0.163175456885608
2023-03-08,0.1637266010242879
