date,sync
2022-09-15,980.493666883142
2022-09-16,908.2092353412744
2022-09-17,760.5901703956182
2022-09-18,513.9639988797911
2022-09-19,503.6020211198695
2022-09-20,747.9426078435661
2022-09-21,905.8581742017052
2022-09-22,998.7361046033376
2022-09-23,1006.263679981271
2022-09-24,944.63034686363
2022-09-25,806.7045168245464
2022-09-26,592.2352808036393
2022-09-27,503.0506957993223
2022-09-28,700.4103288898069
2022-09-29,880.4249656403348
2022-09-30,982.2334454923232
2022-10-01,1012.21318812486
2022-10-02,971.9077407043292
2022-10-03,846.9104273084297
2022-10-04,651.3445218371586
2022-10-05,506.9991719706288
2022-10-06,643.8013978277722
2022-10-07,838.3569726920219
2022-10-08,957.2940633199164
2022-10-09,1014.2513932479676
2022-10-10,988.1855729633572
2022-10-11,888.3825985397287
2022-10-12,717.8512734170563
2022-10-13,508.70845560231777
2022-10-14,576.88010226791
2022-10-15,801.2861435087403
2022-10-16,941.7708118865344
2022-10-17,1009.7676723980908
2022-10-18,999.9446489111592
2022-10-19,915.3495458166012
2022-10-20,761.9620045911831
2022-10-21,530.301562750555
2022-10-22,508.7672154121861
2022-10-23,746.5696961522572
2022-10-24,905.3417931863572
2022-10-25,994.597406463896
2022-10-26,1014.2425793679772
2022-10-27,941.6722401289628
2022-10-28,811.9529865501536
2022-10-29,607.3257636695593
2022-10-30,504.8851914644547
2022-10-31,688.5765411139812
2022-11-01,866.3139733159319
2022-11-02,979.080499318918
2022-11-03,1016.594173152446
2022-11-04,969.8992257335308
2022-11-05,852.5223429133072
2022-11-06,663.4315134174798
2022-11-07,509.4198132461028
2022-11-08,633.8296010177468
2022-11-09,833.3512777941412
2022-11-10,951.3225857266092
2022-11-11,1009.3574811372569
2022-11-12,991.8917621920142
2022-11-13,890.3603332849057
2022-11-14,721.6775927053757
2022-11-15,507.5631593951096
2022-11-16,565.9580120032714
2022-11-17,791.382353255169
2022-11-18,933.166938485644
2022-11-19,1008.6882366303862
2022-11-20,1000.9140633816696
2022-11-21,919.3348533204944
2022-11-22,771.2667614231199
2022-11-23,539.6173347629789
2022-11-24,508.3041441041556
2022-11-25,743.6164876770382
2022-11-26,899.9783455037779
2022-11-27,990.1696515112644
2022-11-28,1009.8818102637038
2022-11-29,949.4382725221064
2022-11-30,812.5787448854655
2022-12-01,613.806716016143
2022-12-02,507.2736263679768
2022-12-03,691.2506003845393
2022-12-04,872.665244930507
2022-12-05,974.5234077306146
2022-12-06,1010.968946639255
2022-12-07,976.1805710577752
2022-12-08,859.4745536025687
2022-12-09,678.3436578731914
2022-12-10,507.1721381418575
2022-12-11,629.4987281872332
2022-12-12,832.5757590283839
2022-12-13,954.0695714393266
2022-12-14,1008.38107317099
2022-12-15,985.1831117818564
2022-12-16,894.1359311161285
2022-12-17,732.7729540344029
2022-12-18,508.5335425408235
2022-12-19,559.7935313607102
2022-12-20,780.4075721273616
2022-12-21,934.184237016263
2022-12-22,1011.3040022721116
2022-12-23,1010.0593401254338
2022-12-24,929.7045521379443
2022-12-25,781.0337904024784
2022-12-26,552.4978015984034
2022-12-27,502.815176915722
2022-12-28,732.5771150234409
2022-12-29,894.6101492169253
2022-12-30,988.7373932801928
2022-12-31,1003.0716174464347
2023-01-01,952.5966613646832
2023-01-02,828.5753114134923
2023-01-03,620.8620776890544
2023-01-04,504.8439911434335
2023-01-05,677.8203105905371
2023-01-06,865.1771400942214
2023-01-07,980.6016907306408
2023-01-08,1012.7820337335444
2023-01-09,968.9514693713852
2023-01-10,864.1931848546152
2023-01-11,683.2907844330191
2023-01-12,507.6794653810792
2023-01-13,619.4489143317588
2023-01-14,824.2561730195566
2023-01-15,948.8246884383576
2023-01-16,1012.4595837449534
2023-01-17,996.5990177019168
2023-01-18,899.7576345870223
2023-01-19,734.8119723308458
2023-01-20,504.9804830392985
2023-01-21,550.6772654399085
2023-01-22,778.3242841898951
2023-01-23,928.3910447498102
2023-01-24,1006.5916605006524
2023-01-25,1007.1297772855146
2023-01-26,936.7509107413644
2023-01-27,790.2599933600109
2023-01-28,559.3434953894009
2023-01-29,502.1196907907786
2023-01-30,728.2156243260087
2023-01-31,892.4492670282017
2023-02-01,988.3092782041618
2023-02-02,1009.9677640731804
2023-02-03,955.149476918595
2023-02-04,822.9957045662545
2023-02-05,619.0330042387471
2023-02-06,504.9195977868708
2023-02-07,673.927364023714
2023-02-08,860.6197490061365
2023-02-09,977.2113573191674
2023-02-10,1013.9328324487976
2023-02-11,979.5630192883696
2023-02-12,869.081250462932
2023-02-13,691.1738307373357
2023-02-14,508.8995762914647
2023-02-15,616.372691476293
2023-02-16,817.1057175945995
2023-02-17,945.5228028360118
2023-02-18,1007.1286762769222
2023-02-19,993.5784404609016
2023-02-20,899.5583284954187
2023-02-21,745.1076363515056
2023-02-22,503.4113790324725
2023-02-23,536.5797438411965
2023-02-24,771.038696783427
2023-02-25,923.034551470678
2023-02-26,1005.570372608836
2023-02-27,1005.1243357524957
2023-02-28,934.4894445310808
2023-03-01,793.035490372886
2023-03-02,570.8908757511216
2023-03-03,503.9785193810257
2023-03-04,720.5942765470355
2023-03-05,892.7021397614595
2023-03-06,983.7971236504328
2023-03-07,1011.0050944813794
2023-03-08,957.4532344584412
2023-03-09,827.2572629384262
2023-03-10,634.9525579204648
2023-03-11,500.8172470407012
2023-03-12,661.4524614209807
2023-03-13,851.5722627134195
2023-03-14,967.7481464392596
2023-03-15,1014.290915504038
2023-03-16,977.7128461398612
2023-03-17,871.8562005586298
2023-03-18,696.3584718437086
2023-03-19,503.74676550774
