,Proposer reward,date
0,0.0309645842097801,2022-09-15
1,0.029569985107819274,2022-09-16
2,0.02950301314097481,2022-09-17
3,0.026698193843466056,2022-09-18
4,0.024149857413299225,2022-09-19
5,0.02561937608615028,2022-09-20
6,0.0310466154340161,2022-09-21
7,0.023122987213925583,2022-09-22
8,0.02710467522350224,2022-09-23
9,0.020723762390194356,2022-09-24
10,0.01926287821153605,2022-09-25
11,0.022428728940597553,2022-09-26
12,0.023189947577682446,2022-09-27
13,0.022673518429910278,2022-09-28
14,0.02521711503818813,2022-09-29
15,0.022398387976658274,2022-09-30
16,0.02703873498677667,2022-10-01
17,0.020757197085019774,2022-10-02
18,0.022245686811997567,2022-10-03
19,0.025214830338924354,2022-10-04
20,0.025953054010863008,2022-10-05
21,0.024654699388861,2022-10-06
22,0.025715485981446795,2022-10-07
23,0.023753194193854466,2022-10-08
24,0.0224415927782049,2022-10-09
25,0.024923719718013215,2022-10-10
26,0.023152382950542894,2022-10-11
27,0.02065390047666371,2022-10-12
28,0.024506454070359673,2022-10-13
29,0.022645777066913064,2022-10-14
30,0.022549879594579103,2022-10-15
31,0.021177548946844427,2022-10-16
32,0.023253704707910217,2022-10-17
33,0.02283517004955038,2022-10-18
34,0.026075805381989614,2022-10-19
35,0.023884757338574536,2022-10-20
36,0.02647070448438238,2022-10-21
37,0.02579065786357071,2022-10-22
38,0.023801285091783253,2022-10-23
39,0.03072683287774991,2022-10-24
40,0.025117922541488813,2022-10-25
41,0.024835441210980136,2022-10-26
42,0.022520901415177264,2022-10-27
43,0.02340927743345067,2022-10-28
44,0.02500265034079252,2022-10-29
45,0.021187145296536647,2022-10-30
46,0.022426859647761255,2022-10-31
47,0.02472728964037052,2022-11-01
48,0.024022753659807883,2022-11-02
49,0.023333575518249328,2022-11-03
50,0.022529306138644012,2022-11-04
51,0.023839090149703646,2022-11-05
52,0.021839717622570864,2022-11-06
53,0.022621256278728907,2022-11-07
54,0.022400635930247992,2022-11-08
55,0.026024103049434144,2022-11-09
56,0.02082210071660029,2022-11-10
57,0.023562280413474523,2022-11-11
58,0.02268539009549997,2022-11-12
59,0.022244958936595838,2022-11-13
60,0.024315091705321645,2022-11-14
61,0.024363986850150177,2022-11-15
