date,proposer
2023-05-05,3469.0
2023-05-06,3451.0
2023-05-07,3460.0
2023-05-08,3457.0
2023-05-09,3454.0
2023-05-10,3451.0
2023-05-11,3388.0
2023-05-12,3303.0
2023-05-13,3420.0
2023-05-14,3392.0
2023-05-15,3414.0
2023-05-16,3442.0
2023-05-17,3418.0
2023-05-18,3451.0
2023-05-19,3443.0
2023-05-20,3441.0
2023-05-21,3447.0
2023-05-22,3444.0
2023-05-23,3438.0
2023-05-24,3451.0
2023-05-25,3460.0
2023-05-26,3456.0
2023-05-27,3455.0
2023-05-28,3473.0
2023-05-29,3462.0
2023-05-30,3443.0
2023-05-31,3438.0
2023-06-01,3448.0
2023-06-02,3425.0
2023-06-03,3440.0
2023-06-04,3434.0
2023-06-05,3421.0
2023-06-06,3437.0
2023-06-07,3438.0
2023-06-08,3419.0
2023-06-09,3445.0
2023-06-10,3447.0
2023-06-11,3433.0
2023-06-12,3447.0
2023-06-13,3465.0
2023-06-14,3443.0
2023-06-15,3441.0
2023-06-16,3462.0
2023-06-17,3472.0
2023-06-18,3465.0
2023-06-19,3459.0
2023-06-20,3457.0
2023-06-21,3487.0
2023-06-22,3442.0
2023-06-23,3452.0
2023-06-24,3448.0
2023-06-25,3448.0
2023-06-26,3444.0
2023-06-27,3437.0
2023-06-28,3484.0
2023-06-29,3469.0
2023-06-30,3463.0
2023-07-01,3451.0
2023-07-02,3480.0
2023-07-03,3462.0
2023-07-04,3448.0
2023-07-05,3478.0
2023-07-06,3463.0
2023-07-07,3474.0
2023-07-08,3457.0
2023-07-09,3466.0
2023-07-10,3450.0
2023-07-11,3472.0
2023-07-12,3457.0
2023-07-13,3437.0
2023-07-14,3450.0
2023-07-15,3410.0
2023-07-16,3449.0
2023-07-17,3468.0
2023-07-18,3468.0
2023-07-19,3470.0
2023-07-20,3489.0
2023-07-21,3484.0
2023-07-22,3486.0
2023-07-23,3501.0
2023-07-24,3487.0
2023-07-25,3492.0
2023-07-26,3499.0
2023-07-27,3483.0
2023-07-28,3484.0
2023-07-29,3497.0
2023-07-30,3480.0
2023-07-31,3499.0
2023-08-01,3498.0
2023-08-02,3506.0
2023-08-03,3490.0
2023-08-04,3490.0
2023-08-05,3504.0
2023-08-06,3481.0
2023-08-07,3472.0
2023-08-08,3485.0
2023-08-09,3490.0
2023-08-10,3485.0
2023-08-11,3491.0
2023-08-12,3481.0
2023-08-13,3501.0
2023-08-14,3492.0
2023-08-15,3497.0
2023-08-16,3490.0
2023-08-17,3484.0
2023-08-18,3493.0
2023-08-19,3480.0
2023-08-20,3474.0
2023-08-21,3482.0
2023-08-22,3500.0
2023-08-23,3488.0
2023-08-24,3492.0
2023-08-25,3477.0
2023-08-26,3493.0
2023-08-27,3474.0
2023-08-28,3486.0
2023-08-29,3486.0
2023-08-30,3493.0
2023-08-31,3505.0
2023-09-01,3497.0
2023-09-02,3474.0
2023-09-03,3496.0
2023-09-04,3520.0
2023-09-05,3488.0
2023-09-06,3490.0
2023-09-07,3500.0
2023-09-08,3480.0
2023-09-09,3482.0
2023-09-10,3480.0
2023-09-11,3494.0
2023-09-12,3494.0
2023-09-13,3473.0
2023-09-14,3469.0
2023-09-15,3449.0
2023-09-16,3423.0
