date,total
2023-05-06,226238.0
2023-05-07,226305.0
2023-05-08,226174.0
2023-05-09,226945.0
2023-05-10,227026.0
2023-05-11,226065.0
2023-05-12,222105.0
2023-05-13,227557.0
2023-05-14,228350.0
2023-05-15,229537.0
2023-05-16,230211.0
2023-05-17,231399.0
2023-05-18,231708.0
2023-05-19,232334.0
2023-05-20,232749.0
2023-05-21,233617.0
2023-05-22,234218.0
2023-05-23,234652.0
2023-05-24,235378.0
2023-05-25,235633.0
2023-05-26,236622.0
2023-05-27,237696.0
2023-05-28,238180.0
2023-05-29,238881.0
2023-05-30,239275.0
2023-05-31,239491.0
2023-06-01,240346.0
2023-06-02,240723.0
2023-06-03,241555.0
2023-06-04,242054.0
2023-06-05,242523.0
2023-06-06,243755.0
2023-06-07,243878.0
2023-06-08,243852.0
2023-06-09,244238.0
2023-06-10,245598.0
2023-06-11,245790.0
2023-06-12,246138.0
2023-06-13,246683.0
2023-06-14,247009.0
2023-06-15,247395.0
2023-06-16,248142.0
2023-06-17,248930.0
2023-06-18,249975.0
2023-06-19,249958.0
2023-06-20,250409.0
2023-06-21,251351.0
2023-06-22,252380.0
2023-06-23,252856.0
2023-06-24,253790.0
2023-06-25,254591.0
2023-06-26,255066.0
2023-06-27,255877.0
2023-06-28,257182.0
2023-06-29,258045.0
2023-06-30,257971.0
2023-07-01,258843.0
2023-07-02,260200.0
2023-07-03,260093.0
2023-07-04,261175.0
2023-07-05,262263.0
2023-07-06,262521.0
2023-07-07,263375.0
2023-07-08,263655.0
2023-07-09,264175.0
2023-07-10,264559.0
2023-07-11,265325.0
2023-07-12,266112.0
2023-07-13,267144.0
2023-07-14,267817.0
2023-07-15,268646.0
2023-07-16,269796.0
2023-07-17,270695.0
2023-07-18,271478.0
2023-07-19,272498.0
2023-07-20,273176.0
2023-07-21,273871.0
2023-07-22,275390.0
2023-07-23,275740.0
2023-07-24,276405.0
2023-07-25,277203.0
2023-07-26,278382.0
2023-07-27,279268.0
2023-07-28,280144.0
2023-07-29,280903.0
2023-07-30,281396.0
2023-07-31,282591.0
2023-08-01,283723.0
2023-08-02,284192.0
2023-08-03,284261.0
2023-08-04,285540.0
2023-08-05,285990.0
2023-08-06,286656.0
2023-08-07,287198.0
2023-08-08,288088.0
2023-08-09,288839.0
2023-08-10,289583.0
2023-08-11,290330.0
2023-08-12,291825.0
2023-08-13,292877.0
2023-08-14,293246.0
2023-08-15,294506.0
2023-08-16,295301.0
2023-08-17,295809.0
2023-08-18,296282.0
2023-08-19,297145.0
2023-08-20,297976.0
2023-08-21,298800.0
2023-08-22,300208.0
2023-08-23,301122.0
2023-08-24,301604.0
2023-08-25,302341.0
2023-08-26,302750.0
2023-08-27,303266.0
2023-08-28,305185.0
2023-08-29,305258.0
2023-08-30,307940.0
2023-08-31,308293.0
2023-09-01,309240.0
2023-09-02,310273.0
2023-09-03,311411.0
2023-09-04,312227.0
2023-09-05,312982.0
2023-09-06,314102.0
2023-09-07,314627.0
2023-09-08,315532.0
2023-09-09,315902.0
2023-09-10,316893.0
2023-09-11,317836.0
2023-09-12,318646.0
2023-09-13,319536.0
2023-09-14,320312.0
2023-09-15,321273.0
2023-09-16,321165.0
