,Proposer reward,date
0,0.00019980851381608608,2022-09-15
1,0.00014435250312911524,2022-09-16
2,0.00014397778409858472,2022-09-17
3,0.00014402134803379637,2022-09-18
4,0.00014320021092413676,2022-09-19
5,0.0001435261510623811,2022-09-20
6,0.00014573725507870767,2022-09-21
7,0.0001431100364748416,2022-09-22
8,0.0001448528563340505,2022-09-23
9,0.0001425285336280134,2022-09-24
10,0.0001424562745964648,2022-09-25
11,0.00014303515789986258,2022-09-26
12,0.00014288193798911452,2022-09-27
13,0.00014275336443428545,2022-09-28
14,0.00014331457078040148,2022-09-29
15,0.00014241710782218425,2022-09-30
16,0.00014363973127768905,2022-10-01
17,0.00014189562515650215,2022-10-02
18,0.00014251193624950382,2022-10-03
19,0.0001429746955026554,2022-10-04
20,0.0001431828733725607,2022-10-05
21,0.00014282973542618753,2022-10-06
22,0.00014347670395606946,2022-10-07
23,0.00014284779248255818,2022-10-08
24,0.00014293234486034045,2022-10-09
25,0.00014313765005816457,2022-10-10
26,0.00014278653293440982,2022-10-11
27,0.00014235576262363543,2022-10-12
28,0.00014292137296935826,2022-10-13
29,0.00014244744711029958,2022-10-14
30,0.0001423129990913426,2022-10-15
31,0.00014260690269286825,2022-10-16
32,0.0001425966219877202,2022-10-17
33,0.00014247381151153598,2022-10-18
34,0.00014321382739795335,2022-10-19
35,0.00014259069339408645,2022-10-20
36,0.0001435451448229725,2022-10-21
37,0.0001432011934189814,2022-10-22
38,0.00014284043553062278,2022-10-23
39,0.0001443623332765006,2022-10-24
40,0.00014294959760845265,2022-10-25
41,0.0001430500348927715,2022-10-26
42,0.0001422463274364282,2022-10-27
43,0.0001427172622953561,2022-10-28
44,0.0001429321750455221,2022-10-29
45,0.00014193935451072768,2022-10-30
46,0.00014236782706394398,2022-10-31
47,0.00014305540113757078,2022-11-01
48,0.00014293804498111658,2022-11-02
49,0.00014285848393403577,2022-11-03
50,0.00014265332027921517,2022-11-04
51,0.00014276708112592024,2022-11-05
52,0.00014230453258720041,2022-11-06
53,0.00014255751176732703,2022-11-07
54,0.00014231889919950517,2022-11-08
55,0.00014324950070330764,2022-11-09
56,0.0001420733111005655,2022-11-10
57,0.00014293975578622573,2022-11-11
58,0.00014237199223878918,2022-11-12
59,0.0001422205981373889,2022-11-13
60,0.00014247327383419225,2022-11-14
61,0.00014276924100868057,2022-11-15
