,final_total_reward,date
0,0.17630427226758605,2022-09-15
1,0.17528050861956102,2022-09-16
2,0.1717038782167013,2022-09-17
3,0.16828335977266606,2022-09-18
4,0.3457834837949867,2022-09-19
5,0.16556758055311915,2022-09-20
6,0.5332995430768397,2022-09-21
7,0.1640680131960448,2022-09-22
8,0.16507134255910638,2022-09-23
9,0.441542363200917,2022-09-24
10,0.16285151065567893,2022-09-25
11,0.25558878169799315,2022-09-26
12,0.16526145718577223,2022-09-27
13,0.2521319640151005,2022-09-28
14,0.16333747875712867,2022-09-29
15,0.43669567134000764,2022-09-30
16,0.16914163938083981,2022-10-01
17,0.16300909345457737,2022-10-02
18,0.5357270284340185,2022-10-03
19,0.1671969597681935,2022-10-04
20,0.3514580891132819,2022-10-05
21,0.1640816430449059,2022-10-06
22,0.1697061402035127,2022-10-07
23,0.16324964377602003,2022-10-08
24,0.3432138642866547,2022-10-09
25,0.16199971531561985,2022-10-10
26,0.5315725706940433,2022-10-11
27,0.16228849630413023,2022-10-12
28,0.16378161481184228,2022-10-13
29,0.44024724105239943,2022-10-14
30,0.16194242137938875,2022-10-15
31,0.2540148166669327,2022-10-16
32,0.16427102804269622,2022-10-17
33,0.2516532544915384,2022-10-18
34,0.16587854477205144,2022-10-19
35,0.43744425644913165,2022-10-20
36,0.16288169149141307,2022-10-21
37,0.16264232263921063,2022-10-22
38,0.5351451343808127,2022-10-23
39,0.170713019748574,2022-10-24
40,0.3504935270637781,2022-10-25
41,0.16348636194011412,2022-10-26
42,0.16522534205239392,2022-10-27
43,0.16577578877813415,2022-10-28
44,0.3444187486970307,2022-10-29
45,0.16298928076557972,2022-10-30
46,0.5314771010093104,2022-10-31
47,0.16979456654014347,2022-11-01
48,0.16361653920031416,2022-11-02
49,0.44189159841078096,2022-11-03
50,0.16341796983161871,2022-11-04
51,0.25586227237067205,2022-11-05
52,0.16168985919424572,2022-11-06
53,0.25058017222912277,2022-11-07
54,0.16195665004571014,2022-11-08
55,0.43902117519493755,2022-11-09
56,0.16254890075306205,2022-11-10
57,0.1632116037395428,2022-11-11
58,0.5347571987937321,2022-11-12
59,0.16232153471616506,2022-11-13
60,0.3474192294463643,2022-11-14
61,0.16610547815617283,2022-11-15
