,final_total_reward,date
0,0.39102252092030626,2022-09-15
1,0.3922049611158309,2022-09-16
2,0.7889720057531685,2022-09-17
3,0.3968855022947951,2022-09-18
4,0.5573209171718675,2022-09-19
5,0.39880220346298245,2022-09-20
6,0.4244944976497965,2022-09-21
7,0.3995894478374269,2022-09-22
8,0.39905775848132835,2022-09-23
9,0.4817547656321945,2022-09-24
10,0.40071294688545706,2022-09-25
11,0.6560879995588073,2022-09-26
12,0.3993896917048969,2022-09-27
13,0.6610607073213157,2022-09-28
14,0.4002898431463982,2022-09-29
15,0.4854236854839446,2022-09-30
16,0.39723727581910173,2022-10-01
17,0.4005220648643974,2022-10-02
18,0.42367215127980623,2022-10-03
19,0.398092891977511,2022-10-04
20,0.5531328776145163,2022-10-05
21,0.40021374745579263,2022-10-06
22,0.7943931377482784,2022-10-07
23,0.40050946472239835,2022-10-08
24,0.5614923028518268,2022-10-09
25,0.40131000119872345,2022-10-10
26,0.42747555019132666,2022-10-11
27,0.40126405858581754,2022-10-12
28,0.40042667195872195,2022-10-13
29,0.48433630133436095,2022-10-14
30,0.4013851507336794,2022-10-15
31,0.6587476113413177,2022-10-16
32,0.3999176777014535,2022-10-17
33,0.6614723749955067,2022-10-18
34,0.39905825638544284,2022-10-19
35,0.48538557978318053,2022-10-20
36,0.4010798311731502,2022-10-21
37,0.40116536871776015,2022-10-22
38,0.42546986895091726,2022-10-23
39,0.3959838589123007,2022-10-24
40,0.553494965924721,2022-10-25
41,0.40068264680785043,2022-10-26
42,0.7992384793467373,2022-10-27
43,0.399298505521348,2022-10-28
44,0.5593932953592903,2022-10-29
45,0.4009656960711833,2022-10-30
46,0.42719009693396276,2022-10-31
47,0.3973373647163686,2022-11-01
48,0.4004439589098148,2022-11-02
49,0.4824123557773974,2022-11-03
50,0.40042123749926645,2022-11-04
51,0.6561114368227912,2022-11-05
52,0.40164279422548715,2022-11-06
53,0.6634337110414034,2022-11-07
54,0.4016029112333752,2022-11-08
55,0.4834576549696223,2022-11-09
56,0.4011662550303114,2022-11-10
57,0.40080532688382037,2022-11-11
58,0.42547899145210943,2022-11-12
59,0.40115900829427387,2022-11-13
60,0.5562398286937902,2022-11-14
61,0.39871309112434633,2022-11-15
