,attestation_total_reward,date
0,0.48295486455622744,2022-09-15
1,0.48431796327243193,2022-09-16
2,0.9739452330056576,2022-09-17
3,0.48923820251915434,2022-09-18
4,0.6826881950384944,2022-09-19
5,0.49090862682674413,2022-09-20
6,0.5206975515236921,2022-09-21
7,0.49207245528244553,2022-09-22
8,0.49181081268330984,2022-09-23
9,0.5891725757436228,2022-09-24
10,0.49303036923749183,2022-09-25
11,0.8050732563697195,2022-09-26
12,0.4915091030393903,2022-09-27
13,0.8105745726867407,2022-09-28
14,0.49257791248931376,2022-09-29
15,0.5936253161320952,2022-09-30
16,0.48951107891577655,2022-10-01
17,0.4927937297597455,2022-10-02
18,0.5193886949501382,2022-10-03
19,0.49037810370922513,2022-10-04
20,0.6773351804328571,2022-10-05
21,0.49243374849957,2022-10-06
22,0.9787957509894862,2022-10-07
23,0.4927882438184947,2022-10-08
24,0.6868785183810298,2022-10-09
25,0.4935551650280343,2022-10-10
26,0.5235140822309164,2022-10-11
27,0.4935091630694306,2022-10-12
28,0.4926482527196955,2022-10-13
29,0.5906615013983634,2022-10-14
30,0.49351907116071125,2022-10-15
31,0.8073069885006764,2022-10-16
32,0.4922108710418944,2022-10-17
33,0.81187542686653,2022-10-18
34,0.49111571081033856,2022-10-19
35,0.5923203618574695,2022-10-20
36,0.49331410855896773,2022-10-21
37,0.4934456365520238,2022-10-22
38,0.5211599635813998,2022-10-23
39,0.4883746796697039,2022-10-24
40,0.6783058131292594,2022-10-25
41,0.49293748684020966,2022-10-26
42,0.9835446088804275,2022-10-27
43,0.49144957154163443,2022-10-28
44,0.6840960043650348,2022-10-29
45,0.4931938390257921,2022-10-30
46,0.5231895191383842,2022-10-31
47,0.48953122064394355,2022-11-01
48,0.49259814086755155,2022-11-02
49,0.5898633669144965,2022-11-03
50,0.49263486446716065,2022-11-04
51,0.8051788157123314,2022-11-05
52,0.4939555933541901,2022-11-06
53,0.8138030007088801,2022-11-07
54,0.49377030715244985,2022-11-08
55,0.591768826619965,2022-11-09
56,0.49326197343650147,2022-11-10
57,0.49290057791257375,2022-11-11
58,0.5210192972498839,2022-11-12
59,0.4933879843604735,2022-11-13
60,0.6810406852248394,2022-11-14
61,0.4909144917222824,2022-11-15
