,sync_total_reward,date
0,0.0010403780092653,2022-09-15
1,0.0011899792930440474,2022-09-16
2,0.0007850019294256368,2022-09-17
3,0.00196180636007607,2022-09-18
4,0.0011849640392443902,2022-09-19
5,0.0015324168761791772,2022-09-20
6,0.0010467051649395527,2022-09-21
7,0.0010199227465747696,2022-09-22
8,0.0010002309836264424,2022-09-23
9,0.0007843899470505774,2022-09-24
10,0.0013975972424534664,2022-09-25
11,0.0009517082988970575,2022-09-26
12,0.001991541283396267,2022-09-27
13,0.0008395205510563691,2022-09-28
14,0.0012600081842347715,2022-09-29
15,0.0007428740217060354,2022-09-30
16,0.0009897731012619658,2022-10-01
17,0.0010693667847591912,2022-10-02
18,0.0011607953918591288,2022-10-03
19,0.0017150739512582964,2022-10-04
20,0.001190406476333037,2022-10-05
21,0.0017457948818722054,2022-10-06
22,0.0007569345829010774,2022-10-07
23,0.0010985542550196287,2022-10-08
24,0.0007178859667960998,2022-10-09
25,0.0010375065381790995,2022-10-10
26,0.0011919207583442144,2022-10-11
27,0.0015789854941469761,2022-10-12
28,0.0019701328917432533,2022-10-13
29,0.00142277032499785,2022-10-14
30,0.0014230085967562658,2022-10-15
31,0.0009307442993391921,2022-10-16
32,0.0010009481167779141,2022-10-17
33,0.0009611588773746954,2022-10-18
34,0.0011769887096360317,2022-10-19
35,0.0014198162023285838,2022-10-20
36,0.0019279429269085046,2022-10-21
37,0.0019667553505692795,2022-10-22
38,0.0015162584217650837,2022-10-23
39,0.0012027951916302464,2022-10-24
40,0.000880444126010895,2022-10-25
41,0.0009900534164707525,2022-10-26
42,0.0007617265900692706,2022-10-27
43,0.0013898415306588727,2022-10-28
44,0.0011378640115177968,2022-10-29
45,0.0019832956928270704,2022-10-30
46,0.0014605590600074456,2022-10-31
47,0.0012836149755299912,2022-11-01
48,0.0010569652257255194,2022-11-02
49,0.0007662766456178464,2022-11-03
50,0.0010703853511095376,2022-11-04
51,0.0006975924524489877,2022-11-05
52,0.0016886446859468124,2022-11-06
53,0.001030497865280185,2022-11-07
54,0.0017655814445300645,2022-11-08
55,0.0009301821840983286,2022-11-09
56,0.001109018365300122,2022-11-10
57,0.0009950359564619693,2022-11-11
58,0.0009131038338395113,2022-11-12
59,0.0012265852423841033,2022-11-13
60,0.0009038465059777075,2022-11-14
61,0.0019744897353280505,2022-11-15
