,sync_total_reward,date
0,0.9979067373653816,2022-09-15
1,0.9981940464315731,2022-09-16
2,0.9986579369924165,2022-09-17
3,0.9988347065019705,2022-09-18
4,0.9990950816019553,2022-09-19
5,0.9985449329564984,2022-09-20
6,0.9989722287708918,2022-09-21
7,0.9978833816703288,2022-09-22
8,0.9978029136949149,2022-09-23
9,0.9986715052429918,2022-09-24
10,0.998437653676818,2022-09-25
11,0.998886979679062,2022-09-26
12,0.9988695976740289,2022-09-27
13,0.9987531478843161,2022-09-28
14,0.9983096550383614,2022-09-29
15,0.9986032183671114,2022-09-30
16,0.9977472579597166,2022-10-01
17,0.9980443498968796,2022-10-02
18,0.9990665997845027,2022-10-03
19,0.9987064802312811,2022-10-04
20,0.9991198295341688,2022-10-05
21,0.9987260839350287,2022-10-06
22,0.9986386619559144,2022-10-07
23,0.9981062611209841,2022-10-08
24,0.9985507448588451,2022-10-09
25,0.9979820791215108,2022-10-10
26,0.9990836887049335,2022-10-11
27,0.998612357366877,2022-10-12
28,0.9988723597518372,2022-10-13
29,0.9992206639111585,2022-10-14
30,0.9984941578561168,2022-10-15
31,0.9988922175999786,2022-10-16
32,0.9978788817042286,2022-10-17
33,0.998920549061733,2022-10-18
34,0.9982458613427769,2022-10-19
35,0.9992337517863217,2022-10-20
36,0.998858036074594,2022-10-21
37,0.9988800535080085,2022-10-22
38,0.9992370519716054,2022-10-23
39,0.9982870045074717,2022-10-24
40,0.9988390234935189,2022-10-25
41,0.9978541114313628,2022-10-26
42,0.9986871481878747,2022-10-27
43,0.9984932018808517,2022-10-28
44,0.9990874696894927,2022-10-29
45,0.998909047732295,2022-10-30
46,0.9992276820569386,2022-10-31
47,0.9984066078047122,2022-11-01
48,0.998098529125087,2022-11-02
49,0.9987171266307804,2022-11-03
50,0.9981312949759567,2022-11-04
51,0.99855477504322,2022-11-05
52,0.9987424515626346,2022-11-06
53,0.9990254283033901,2022-11-07
54,0.9987963828005029,2022-11-08
55,0.9988768747845516,2022-11-09
56,0.9982107089468326,2022-11-10
57,0.9979074922397033,2022-11-11
58,0.9989145876675154,2022-11-12
59,0.9983752554984706,2022-11-13
60,0.9989113088407098,2022-11-14
61,0.9989390370866567,2022-11-15
