val,date
11.979671889070287,2022-09-16
15.05320619432889,2022-09-17
19.78598940884395,2022-09-18
19.899089439831275,2022-09-19
15.193148865593548,2022-09-20
11.938299464394147,2022-09-21
10.168265175830932,2022-09-22
10.020990567792458,2022-09-23
11.283413977164473,2022-09-24
14.091297558830703,2022-09-25
18.474709407410906,2022-09-26
19.915299126112526,2022-09-27
16.166051067346018,2022-09-28
12.50540941847261,2022-09-29
10.486070374381537,2022-09-30
9.902388657035708,2022-10-01
10.74180828025648,2022-10-02
13.253350246065613,2022-10-03
17.299931523340916,2022-10-04
19.776797659451944,2022-10-05
17.307139897488813,2022-10-06
13.342562759090011,2022-10-07
10.92669007761328,2022-10-08
9.879711053254162,2022-10-09
10.414828995296922,2022-10-10
12.424971952387267,2022-10-11
15.93021900579217,2022-10-12
19.70135875627498,2022-10-13
18.653127171205902,2022-10-14
14.113615023929071,2022-10-15
11.299960057891742,2022-10-16
9.98637202276013,2022-10-17
10.165447971938724,2022-10-18
11.842413534421981,2022-10-19
15.041824304958805,2022-10-20
19.45903065406379,2022-10-21
19.667704879391145,2022-10-22
15.213666731307613,2022-10-23
11.949244573160808,2022-10-24
10.217381805891733,2022-10-25
9.91576262287116,2022-10-26
11.300551330675079,2022-10-27
14.015579303394118,2022-10-28
18.15656501407163,2022-10-29
19.833163825455998,2022-10-30
16.43140345322079,2022-10-31
12.748502027977777,2022-11-01
10.52436405946573,2022-11-02
9.859871382053498,2022-11-03
10.754580588073512,2022-11-04
13.12874893701574,2022-11-05
17.03922569983252,2022-11-06
19.670867872607005,2022-11-07
17.49610146760961,2022-11-08
13.442755034657441,2022-11-09
11.02971891041801,2022-11-10
9.941836140790034,2022-11-11
10.352355172488712,2022-11-12
12.356138404900479,2022-11-13
15.863769695106678,2022-11-14
19.744783397824904,2022-11-15
