val,date
906.4516524055681,2022-09-16
757.6990735934086,2022-09-17
506.4465602994156,2022-09-18
503.60013483229517,2022-09-19
750.8836015878449,2022-09-20
907.7082738752141,2022-09-21
999.4959269993255,2022-09-22
1005.8099115937083,2022-09-23
943.0563207088818,2022-09-24
804.0616574849761,2022-09-25
588.6154741906992,2022-09-26
503.05283704585304,2022-09-27
703.4628034638563,2022-09-28
882.6183679824946,2022-09-29
983.3077065503868,2022-09-30
1012.0943024020753,2022-10-01
970.7433796029107,2022-10-02
844.5161059895837,2022-10-03
647.7216817792926,2022-10-04
506.98473551525774,2022-10-05
647.0851139743427,2022-10-06
840.7844071114571,2022-10-07
958.663450144192,2022-10-08
1014.4477158229811,2022-10-09
987.2513218564861,2022-10-10
886.5266180757775,2022-10-11
714.6083034562582,2022-10-12
508.7088099053712,2022-10-13
581.2781917837383,2022-10-14
803.8983443884598,2022-10-15
943.3019291078987,2022-10-16
1010.3236206209166,2022-10-17
999.3222995969815,2022-10-18
913.8545927136013,2022-10-19
759.3759320111175,2022-10-20
524.3186865354398,2022-10-21
508.76536231079257,2022-10-22
749.1967755778747,2022-10-23
906.9836711174421,2022-10-24
995.3815266336451,2022-10-25
1013.8740223745363,2022-10-26
940.4138407156316,2022-10-27
809.3298758724313,2022-10-28
603.2307025772257,2022-10-29
504.88413694057755,2022-10-30
691.53823351515,2022-10-31
868.2588873830646,2022-11-01
980.1459124625356,2022-11-02
1016.5334391563581,2022-11-03
968.669124002344,2022-11-04
850.2463721363983,2022-11-05
659.8783535649189,2022-11-06
509.4225753289791,2022-11-07
637.5039470834289,2022-11-08
835.6174900504807,2022-11-09
952.6842595248104,2022-11-10
1009.5369861607477,2022-11-11
990.911987861264,2022-11-12
888.25767310194,2022-11-13
718.3876678979811,2022-11-14
507.56351222949263,2022-11-15
