,date,ShannonEntropy,HHI,Gini,Nakamoto
0,2022-09-16,6989.2837367377915,1.4431620263764013,0.9840407183527009,3408.0
1,2022-09-17,7004.948737553189,1.440830096314104,0.9840272169456807,3417.0
2,2022-09-18,7007.649197472089,1.439608580843242,0.9840047272207118,3429.0
3,2022-09-19,7034.306935078802,1.431802657412977,0.9839351383711399,3449.0
4,2022-09-20,7022.879626994226,1.4356288084067341,0.9840097493981843,3438.0
5,2022-09-21,6938.212617274875,1.4573784288725833,0.984280397099697,3382.0
6,2022-09-22,7042.872465073109,1.4307087072676095,0.9839643469786195,3459.0
7,2022-09-23,7033.557015535533,1.4485291268983882,0.9840204588774686,3453.0
8,2022-09-24,7064.064367924149,1.4252861631136007,0.9839678821315965,3477.0
9,2022-09-25,7065.428965519593,1.424956054458591,0.9839697778955239,3481.0
10,2022-09-26,7042.661324692806,1.4303507110948288,0.984071142799372,3461.0
11,2022-09-27,7047.002497973343,1.4287900431043579,0.9841070604444604,3460.0
12,2022-09-28,7056.244362802578,1.4275644756803056,0.984114905831782,3465.0
13,2022-09-29,7038.339934930049,1.4323763553031374,0.9841955222336873,3451.0
14,2022-09-30,7067.498691712157,1.424151027420425,0.9841316322115774,3471.0
15,2022-10-01,7024.46511381518,1.4362090706644706,0.9843056141659032,3437.0
16,2022-10-02,7091.3756719059265,1.4185530109538098,0.9841029644718671,3488.0
17,2022-10-03,7059.680441651385,1.42610836878313,0.984206937705209,3466.0
18,2022-10-04,7044.7764044490195,1.4293351729904888,0.9842846423147471,3451.0
19,2022-10-05,7038.9010225992515,1.4314309053022214,0.9843096080691807,3447.0
20,2022-10-06,7051.892137283666,1.4287095503510812,0.9842873976111559,3456.0
21,2022-10-07,7029.228046316239,1.4343696295527948,0.9843585842717486,3442.0
22,2022-10-08,7055.012705967577,1.4280966881602402,0.9842923671916466,3463.0
23,2022-10-09,7049.064077955313,1.4297084203266603,0.9843001294703337,3463.0
24,2022-10-10,7045.345581829012,1.4308809356306695,0.9843450104089047,3455.0
25,2022-10-11,7054.844827262649,1.4279455657458116,0.9843202174607324,3463.0
26,2022-10-12,7071.140473242305,1.4231963890456314,0.9842679888648413,3477.0
27,2022-10-13,7046.097623889314,1.430006090550649,0.9843917334443013,3455.0
28,2022-10-14,7064.720807706354,1.424861629346261,0.9843440817701534,3469.0
29,2022-10-15,7072.791172836067,1.4228291186079136,0.9843317315286715,3473.0
30,2022-10-16,7061.619712060758,1.4255886176386319,0.9843539717816885,3471.0
31,2022-10-17,7058.352035324396,1.4263534553322084,0.984394550271948,3464.0
32,2022-10-18,7067.648506689977,1.4243353841839108,0.9843704574394008,3474.0
33,2022-10-19,7040.162430625977,1.4321101927444781,0.9845270722127444,3447.0
34,2022-10-20,7062.319196051142,1.4260900208242255,0.9844924945646889,3464.0
35,2022-10-21,7029.618973963921,1.4355724795732399,0.9846025030538277,3444.0
36,2022-10-22,7042.0440211606565,1.4319537090834344,0.9845943246219588,3452.0
37,2022-10-23,7054.932974565568,1.428156892877919,0.9845577042064084,3464.0
38,2022-10-24,6989.012510921546,1.4443294905840554,0.9847988180675744,3407.0
39,2022-10-25,7046.443353211938,1.4294980846201193,0.9846285083648205,3451.0
40,2022-10-26,7049.958582790283,1.4294281242754892,0.9846418222125248,3460.0
41,2022-10-27,7073.576665525999,1.4223113869896016,0.9846155417063336,3474.0
42,2022-10-28,7055.331920345924,1.4272180792382274,0.9847129133770955,3461.0
43,2022-10-29,7047.068984205678,1.429322130389702,0.9847782328947354,3453.0
44,2022-10-30,7086.148502147665,1.4190129910801343,0.984687256786057,3486.0
45,2022-10-31,7070.462013873027,1.4232668956773311,0.984774390314666,3474.0
46,2022-11-01,7044.633421259795,1.4302997467388412,0.9848871536027568,3452.0
47,2022-11-02,7049.2053617939255,1.429265112147935,0.9849035376749906,3456.0
48,2022-11-03,7052.603133580137,1.4282836335909432,0.98490982227066,3459.0
49,2022-11-04,7060.702133798571,1.4268503525435574,0.9849088052647672,3467.0
50,2022-11-05,7058.337174444837,1.4277540855008255,0.9849399449428105,3463.0
51,2022-11-06,7073.568369961038,1.4233506136320253,0.9848982716880528,3476.0
52,2022-11-07,7065.183410702046,1.4255749707599434,0.9849396944725455,3469.0
53,2022-11-08,7070.735977131739,1.4239435900830861,0.9849434091407709,3471.0
54,2022-11-09,7035.860609235163,1.4329045168405992,0.9850760198423119,3446.0
55,2022-11-10,7081.114461407425,1.4206232248268755,0.9849554784770276,3479.0
56,2022-11-11,7049.23639448863,1.429512846363741,0.9850719476333596,3456.0
57,2022-11-12,7070.876208971137,1.4237195370348874,0.9850545069481493,3470.0
58,2022-11-13,7077.031967353116,1.422206441031614,0.9850546653888179,3475.0
59,2022-11-14,7070.762371685843,1.4237715877767243,0.9851333206440469,3465.0
60,2022-11-15,7053.680479589148,1.4276561783977322,0.9852037977402417,3455.0
