,date,ShannonEntropy,HHI,Gini,Nakamoto
0,2022-09-16,423801.6755755079,0.023625933762822446,0.023381141842190534,208766.0
1,2022-09-17,425473.28637133626,0.02352022001076819,0.01708221832323975,210416.0
2,2022-09-18,426177.3669720495,0.023477341083119174,0.015430812691559659,211156.0
3,2022-09-19,427483.29533058754,0.023403831776781934,0.013215254792062092,211901.0
4,2022-09-20,428449.22936452244,0.023351794227732658,0.013127933695462612,212278.0
5,2022-09-21,428871.8217548324,0.02332969268614961,0.013933720960179086,212310.0
6,2022-09-22,429912.8619366097,0.023271674694661567,0.011283182233454259,213257.0
7,2022-09-23,430672.03192075086,0.023231940799891986,0.011911883224086095,213558.0
8,2022-09-24,432088.2012866627,0.0231590607914075,0.011718330215539696,214307.0
9,2022-09-25,432903.9655284546,0.023109135731451014,0.010036965978410306,214909.0
10,2022-09-26,433136.8970918724,0.02309786194793389,0.011182941526222123,214801.0
11,2022-09-27,433842.89538112096,0.0230654106704852,0.012792103937646404,214931.0
12,2022-09-28,434980.0841684899,0.022998701032358463,0.010060946420119565,215963.0
13,2022-09-29,435587.49503981223,0.022966423461821657,0.0106642517566371,216031.0
14,2022-09-30,436107.01433907775,0.022940326554044415,0.010612057311222278,216388.0
15,2022-10-01,435965.24285676057,0.02297686008689077,0.01670350367566842,215436.0
16,2022-10-02,437667.6870236678,0.02285759377970932,0.010399887416750797,217030.0
17,2022-10-03,437688.93351123994,0.02285934489253275,0.012579658510817326,216600.0
18,2022-10-04,437887.70323987433,0.02285230825279608,0.0143856334423349,216377.0
19,2022-10-05,437871.58126107836,0.022857615756851368,0.01453248866223511,216555.0
20,2022-10-06,438944.2112314337,0.02279359752309293,0.011288784454503986,217467.0
21,2022-10-07,438722.06057666626,0.02282710038590265,0.015598625490803819,216710.0
22,2022-10-08,439902.55805536464,0.02274390814430788,0.01072046863448195,218078.0
23,2022-10-09,440247.5264566794,0.022720665437030246,0.008787467161505136,218614.0
24,2022-10-10,440632.0498020278,0.02270222829982572,0.009316155930430892,218668.0
25,2022-10-11,440960.9594604445,0.022684186913837372,0.00945189691615056,218751.0
26,2022-10-12,441144.2383014938,0.022676024319876555,0.009423751061782726,218926.0
27,2022-10-13,441620.0536480876,0.02265487816740415,0.010869727832821141,218908.0
28,2022-10-14,442141.97510556126,0.022624854702841472,0.009605895218961935,219402.0
29,2022-10-15,442426.5361524068,0.022608789743359118,0.00915974216890536,219617.0
30,2022-10-16,442585.7034870068,0.022601357130658084,0.009145612096603806,219770.0
31,2022-10-17,442703.92326596373,0.022600329396455215,0.011547065531813727,219380.0
32,2022-10-18,443130.6335198135,0.022575584912585732,0.010457537944210227,219859.0
33,2022-10-19,444269.99643153715,0.0225245725185735,0.013602856830316368,219732.0
34,2022-10-20,445643.96077152475,0.022451828031350877,0.011521446164189264,220729.0
35,2022-10-21,446407.26488868403,0.02241001200395692,0.009921844877178287,221439.0
36,2022-10-22,447015.7125478348,0.022381054457948732,0.009638784550474622,221892.0
37,2022-10-23,447323.767818464,0.02236756496904784,0.009779867722711,222075.0
38,2022-10-24,445631.2528993097,0.022479116012175206,0.018186544791625847,220245.0
39,2022-10-25,446341.6534834169,0.022446992922082184,0.016617713366929632,220928.0
40,2022-10-26,449305.91696149576,0.022269005883679728,0.01078527937583762,222785.0
41,2022-10-27,450479.5046015528,0.02221113945356808,0.010960543119165722,223241.0
42,2022-10-28,451331.9576145237,0.02217636686604875,0.013230491639977693,223407.0
43,2022-10-29,452526.06493347004,0.022117775877699048,0.012822785653487934,223953.0
44,2022-10-30,454099.78655317926,0.02203194778690579,0.01016094080757668,225239.0
45,2022-10-31,455272.1093474163,0.021974636423341905,0.010484260250227084,225630.0
46,2022-11-01,453812.09755134303,0.022077263994099466,0.01726684169832393,224551.0
47,2022-11-02,456757.5363377181,0.021904492429443267,0.011087673049378965,226316.0
48,2022-11-03,457563.65810374654,0.021864543489900166,0.010702069347580112,226747.0
49,2022-11-04,458088.20312759065,0.02184106236194656,0.010849882639549335,227150.0
50,2022-11-05,458551.8375699646,0.021821072473836283,0.010842189569434613,227378.0
51,2022-11-06,459483.3091489461,0.021769844211090485,0.00871570330989968,228086.0
52,2022-11-07,459872.3811438818,0.021751534582537646,0.0090104269719391,228176.0
53,2022-11-08,460188.28140947496,0.02173691508492568,0.009105147076641895,228349.0
54,2022-11-09,459967.8842441259,0.02175000860233335,0.012175343670001393,228015.0
55,2022-11-10,461508.7296405294,0.021679377974022085,0.010143165859344938,228878.0
56,2022-11-11,462192.1618961564,0.02164711925089029,0.010746149074084554,229051.0
57,2022-11-12,463322.9529795985,0.02159343004186769,0.010265807093167156,229811.0
58,2022-11-13,464125.36303059914,0.021552883136092407,0.009648565783597407,230230.0
59,2022-11-14,464608.92404920177,0.021533752073614475,0.012625164925546661,230101.0
60,2022-11-15,465499.1999410231,0.021493066615864042,0.013250259322885372,230383.0
