val,date
0.9840407183527009,2022-09-16
0.9840272169456807,2022-09-17
0.9840047272207118,2022-09-18
0.9839351383711399,2022-09-19
0.9840097493981843,2022-09-20
0.984280397099697,2022-09-21
0.9839643469786195,2022-09-22
0.9840204588774686,2022-09-23
0.9839678821315965,2022-09-24
0.9839697778955239,2022-09-25
0.984071142799372,2022-09-26
0.9841070604444604,2022-09-27
0.984114905831782,2022-09-28
0.9841955222336873,2022-09-29
0.9841316322115774,2022-09-30
0.9843056141659032,2022-10-01
0.9841029644718671,2022-10-02
0.984206937705209,2022-10-03
0.9842846423147471,2022-10-04
0.9843096080691807,2022-10-05
0.9842873976111559,2022-10-06
0.9843585842717486,2022-10-07
0.9842923671916466,2022-10-08
0.9843001294703337,2022-10-09
0.9843450104089047,2022-10-10
0.9843202174607324,2022-10-11
0.9842679888648413,2022-10-12
0.9843917334443013,2022-10-13
0.9843440817701534,2022-10-14
0.9843317315286715,2022-10-15
0.9843539717816885,2022-10-16
0.984394550271948,2022-10-17
0.9843704574394008,2022-10-18
0.9845270722127444,2022-10-19
0.9844924945646889,2022-10-20
0.9846025030538277,2022-10-21
0.9845943246219588,2022-10-22
0.9845577042064084,2022-10-23
0.9847988180675744,2022-10-24
0.9846285083648205,2022-10-25
0.9846418222125248,2022-10-26
0.9846155417063336,2022-10-27
0.9847129133770955,2022-10-28
0.9847782328947354,2022-10-29
0.984687256786057,2022-10-30
0.984774390314666,2022-10-31
0.9848871536027568,2022-11-01
0.9849035376749906,2022-11-02
0.98490982227066,2022-11-03
0.9849088052647672,2022-11-04
0.9849399449428105,2022-11-05
0.9848982716880528,2022-11-06
0.9849396944725455,2022-11-07
0.9849434091407709,2022-11-08
0.9850760198423119,2022-11-09
0.9849554784770276,2022-11-10
0.9850719476333596,2022-11-11
0.9850545069481493,2022-11-12
0.9850546653888179,2022-11-13
0.9851333206440469,2022-11-14
0.9852037977402417,2022-11-15
