,Sync committee reward,date
0,0.11169167703081362,2022-09-15
1,0.23465438348371093,2022-09-16
2,0.3707442665897658,2022-09-17
3,0.5042679933571736,2022-09-18
4,0.022224659667220648,2022-09-19
5,0.3797499674256364,2022-09-20
6,0.23992884565957562,2022-09-21
7,0.10069528331555433,2022-09-22
8,0.06362171164580244,2022-09-23
9,0.19514109258212997,2022-09-24
10,0.3307077669837215,2022-09-25
11,0.46920722072706766,2022-09-26
12,0.023661438166064697,2022-09-27
13,0.4114091798571551,2022-09-28
14,0.274299574948609,2022-09-29
15,0.139547420301801,2022-09-30
16,0.026649143663834307,2022-10-01
17,0.1558641884450167,2022-10-02
18,0.29778013181995355,2022-10-03
19,0.43531959128353215,2022-10-04
20,0.025844631882193436,2022-10-05
21,0.4485032148872732,2022-10-06
22,0.3090740677373214,2022-10-07
23,0.1743821929651843,2022-10-08
24,0.03739828706450621,2022-10-09
25,0.12529658485235684,2022-10-10
26,0.26044740564844515,2022-10-11
27,0.3989131298177018,2022-10-12
28,0.02146424555022186,2022-10-13
29,0.4868124671162486,2022-10-14
30,0.34452315424107316,2022-10-15
31,0.20697734213996832,2022-10-16
32,0.07545444354287412,2022-10-17
33,0.08970708745143074,2022-10-18
34,0.22775343055795294,2022-10-19
35,0.3685759738519443,2022-10-20
36,0.49839458490960653,2022-10-21
37,0.014480026649625222,2022-10-22
38,0.37856177427079296,2022-10-23
39,0.23605839114175842,2022-10-24
40,0.10302025215981647,2022-10-25
41,0.05079143741402703,2022-10-26
42,0.19463913861634374,2022-10-27
43,0.3299135811359737,2022-10-28
44,0.46479358781292146,2022-10-29
45,0.01720077301177758,2022-10-30
46,0.41623319085773414,2022-10-31
47,0.2799975022163157,2022-11-01
48,0.14087049782509276,2022-11-02
49,0.024257417993125863,2022-11-03
50,0.15463055405082704,2022-11-04
51,0.29074128518321674,2022-11-05
52,0.4289342454721419,2022-11-06
53,0.022450633549290444,2022-11-07
54,0.45362643429816707,2022-11-08
55,0.3129955954752768,2022-11-09
56,0.17860723340004725,2022-11-10
57,0.042665317961225524,2022-11-11
58,0.11828068981772133,2022-11-12
59,0.25373434085400115,2022-11-13
60,0.39518393011255215,2022-11-14
61,0.02461656471555762,2022-11-15
