,Attestation reward,date
0,0.4829559947114091,2022-09-15
1,0.48431796327243193,2022-09-16
2,0.48806823612234573,2022-09-17
3,0.48923820251915434,2022-09-18
4,0.4907204225090192,2022-09-19
5,0.49090862682674413,2022-09-20
6,0.49050184029741434,2022-09-21
7,0.49207245528244553,2022-09-22
8,0.49181081268330984,2022-09-23
9,0.4921056266691224,2022-09-24
10,0.49303036923749183,2022-09-25
11,0.4923664472958565,2022-09-26
12,0.4915091030393903,2022-09-27
13,0.49300780928141796,2022-09-28
14,0.49257791248931376,2022-09-29
15,0.4926319537648251,2022-09-30
16,0.48951107891577655,2022-10-01
17,0.4927937297597455,2022-10-02
18,0.49145014384317115,2022-10-03
19,0.49037810370922513,2022-10-04
20,0.4906978856766516,2022-10-05
21,0.49243374849957,2022-10-06
22,0.4902638176715676,2022-10-07
23,0.4927882438184947,2022-10-08
24,0.49380583856021115,2022-10-09
25,0.4935551650280343,2022-10-10
26,0.4934849481395091,2022-10-11
27,0.4935091630694306,2022-10-12
28,0.4926482527196955,2022-10-13
29,0.49337326725756253,2022-10-14
30,0.49351907116071125,2022-10-15
31,0.49356834658677834,2022-10-16
32,0.4922108710418944,2022-10-17
33,0.49264890901901576,2022-10-18
34,0.49111571081033856,2022-10-19
35,0.4922575642111521,2022-10-20
36,0.49331410855896773,2022-10-21
37,0.4934456365520238,2022-10-22
38,0.49338521574013683,2022-10-23
39,0.4883746796697039,2022-10-24
40,0.489968513420127,2022-10-25
41,0.49293748684020966,2022-10-26
42,0.4927197829533469,2022-10-27
43,0.49144957154163443,2022-10-28
44,0.49182766032812564,2022-10-29
45,0.4931938390257921,2022-10-30
46,0.4928486854056278,2022-10-31
47,0.48953122064394355,2022-11-01
48,0.49259814086755155,2022-11-02
49,0.49290483594883117,2022-11-03
50,0.49263486446716065,2022-11-04
51,0.4928517143291425,2022-11-05
52,0.4939555933541901,2022-11-06
53,0.49379458953242095,2022-11-07
54,0.49377030715244985,2022-11-08
55,0.49167369354176127,2022-11-09
56,0.49326197343650147,2022-11-10
57,0.49290057791257375,2022-11-11
58,0.49314620848597424,2022-11-12
59,0.4933879843604735,2022-11-13
60,0.4916638115631692,2022-11-14
61,0.4909144917222824,2022-11-15
