,Total reward,date
0,0.3910210958615606,2022-09-15
1,0.3922049611158309,2022-09-16
2,0.3956678734023185,2022-09-17
3,0.3968855022947951,2022-09-18
4,0.3983453899654108,2022-09-19
5,0.39880220346298245,2022-09-20
6,0.39803732512539053,2022-09-21
7,0.3995894478374269,2022-09-22
8,0.39905775848132835,2022-09-23
9,0.3999056082512202,2022-09-24
10,0.40071294688545706,2022-09-25
11,0.40008823853818154,2022-09-26
12,0.3993896917048969,2022-09-27
13,0.40088254950608354,2022-09-28
14,0.4002898431463982,2022-09-29
15,0.4004012709194993,2022-09-30
16,0.39723727581910173,2022-10-01
17,0.4005220648643974,2022-10-02
18,0.3991335296726289,2022-10-03
19,0.398092891977511,2022-10-04
20,0.3985215633729248,2022-10-05
21,0.40021374745579263,2022-10-06
22,0.39800923973903857,2022-10-07
23,0.40050946472239835,2022-10-08
24,0.40142195220773813,2022-10-09
25,0.40131000119872345,2022-10-10
26,0.40113507685840016,2022-10-11
27,0.40126405858581754,2022-10-12
28,0.40042667195872195,2022-10-13
29,0.401358474578181,2022-10-14
30,0.4013851507336794,2022-10-15
31,0.4013374237823749,2022-10-16
32,0.3999176777014535,2022-10-17
33,0.40030644523527087,2022-10-18
34,0.39905825638544284,2022-10-19
35,0.4002668341270568,2022-10-20
36,0.4010798311731502,2022-10-21
37,0.40116536871776015,2022-10-22
38,0.40105204342628686,2022-10-23
39,0.3959838589123007,2022-10-24
40,0.3976375065828506,2022-10-25
41,0.40068264680785043,2022-10-26
42,0.4005302341830789,2022-10-27
43,0.399298505521348,2022-10-28
44,0.39957889734467716,2022-10-29
45,0.4009656960711833,2022-10-30
46,0.40070779958372454,2022-10-31
47,0.3973373647163686,2022-11-01
48,0.4004439589098148,2022-11-02
49,0.4007482806531558,2022-11-03
50,0.40042123749926645,2022-11-04
51,0.4006231950144399,2022-11-05
52,0.40164279422548715,2022-11-06
53,0.401564305395076,2022-11-07
54,0.4016029112333752,2022-11-08
55,0.39936650018377984,2022-11-09
56,0.4011662550303114,2022-11-10
57,0.40080532688382037,2022-11-11
58,0.40102634882960975,2022-11-12
59,0.40115900829427387,2022-11-13
60,0.3995182012847966,2022-11-14
61,0.39871309112434633,2022-11-15
