,Total reward,date
0,0.17630461250179574,2022-09-15
1,0.17528050861956102,2022-09-16
2,0.16977906237077378,2022-09-17
3,0.16828335977266606,2022-09-18
4,0.16599265384827788,2022-09-19
5,0.16556758055311915,2022-09-20
6,0.16672613875929088,2022-09-21
7,0.1640680131960448,2022-09-22
8,0.16507134255910638,2022-09-23
9,0.164177264819088,2022-09-24
10,0.16285151065567893,2022-09-25
11,0.1640339013844483,2022-09-26
12,0.16526145718577223,2022-09-27
13,0.16274834383686465,2022-09-28
14,0.16333747875712867,2022-09-29
15,0.1631302721844321,2022-09-30
16,0.16914163938083981,2022-10-01
17,0.16300909345457737,2022-10-02
18,0.16523805057082197,2022-10-03
19,0.1671969597681935,2022-10-04
20,0.1672285185109903,2022-10-05
21,0.1640816430449059,2022-10-06
22,0.16802548063810763,2022-10-07
23,0.16324964377602003,2022-10-08
24,0.16159602659229155,2022-10-09
25,0.16199971531561985,2022-10-10
26,0.16223120142441783,2022-10-11
27,0.16228849630413023,2022-10-12
28,0.16378161481184228,2022-10-13
29,0.1621977551571232,2022-10-14
30,0.16194242137938875,2022-10-15
31,0.1618099302064544,2022-10-16
32,0.16427102804269622,2022-10-17
33,0.16317925661290467,2022-10-18
34,0.16587854477205144,2022-10-19
35,0.1637991837096604,2022-10-20
36,0.16288169149141307,2022-10-21
37,0.16264232263921063,2022-10-22
38,0.1627131444548715,2022-10-23
39,0.170713019748574,2022-10-24
40,0.1690967451147396,2022-10-25
41,0.16348636194011412,2022-10-26
42,0.16351005252024664,2022-10-27
43,0.16577578877813415,2022-10-28
44,0.16569263054683625,2022-10-29
45,0.16298928076557972,2022-10-30
46,0.1631350579277966,2022-10-31
47,0.16979456654014347,2022-11-01
48,0.16361653920031416,2022-11-02
49,0.16331930663188943,2022-11-03
50,0.16341796983161871,2022-11-04
51,0.16355709220863868,2022-11-05
52,0.16168985919424572,2022-11-06
53,0.1620547757549855,2022-11-07
54,0.16195665004571014,2022-11-08
55,0.1648519680191678,2022-11-09
56,0.16254890075306205,2022-11-10
57,0.1632116037395428,2022-11-11
58,0.1628564924475222,2022-11-12
59,0.16232153471616506,2022-11-13
60,0.1652089697189727,2022-11-14
61,0.16610547815617283,2022-11-15
