,Sync committee reward,date
0,0.0009594346355903448,2022-09-15
1,0.0007842185355652442,2022-09-16
2,0.0006666961940039303,2022-09-17
3,0.0005748624519396371,2022-09-18
4,0.0005671886041581434,2022-09-19
5,0.0006543561089479718,2022-09-20
6,0.0007857189212241454,2022-09-21
7,0.0009719949733974233,2022-09-22
8,0.0010438558000969954,2022-09-23
9,0.0008334100745925039,2022-09-24
10,0.0006922484274921518,2022-09-25
11,0.0005882569212103386,2022-09-26
12,0.0005571183910971105,2022-09-27
13,0.0006294116031456847,2022-09-28
14,0.0007428944998377061,2022-09-29
15,0.0009016041706611155,2022-09-30
16,0.001113928202885279,2022-10-01
17,0.0008784526488988619,2022-10-02
18,0.0007118247046382316,2022-10-03
19,0.0006044932483103732,2022-10-04
20,0.0005609429291667613,2022-10-05
21,0.0006013065369962356,2022-10-06
22,0.0006959273515317202,2022-10-07
23,0.000842315007698578,2022-10-08
24,0.0010774422968534612,2022-10-09
25,0.0009205291572521639,2022-10-10
26,0.000748129112167382,2022-10-11
27,0.0006347399260448926,2022-10-12
28,0.0005637843006368507,2022-10-13
29,0.0005701626879226923,2022-10-14
30,0.000671178729490197,2022-10-15
31,0.0008080362468404432,2022-10-16
32,0.001000913192710653,2022-10-17
33,0.0009683130234731658,2022-10-18
34,0.0007705989614834926,2022-10-19
35,0.0006369156299095579,2022-10-20
36,0.0005646905473480748,2022-10-21
37,0.00055705961652016,2022-10-22
38,0.0006344316049338744,2022-10-23
39,0.0007496618735763098,2022-10-24
40,0.0009288207753653621,2022-10-25
41,0.00103061936899498,2022-10-26
42,0.0008048592270255808,2022-10-27
43,0.0006679850000992056,2022-10-28
44,0.0005742308936220768,2022-10-29
45,0.000541860357978839,2022-10-30
46,0.0005909272962449853,2022-10-31
47,0.0007056376736240066,2022-11-01
48,0.0008547735395256443,2022-11-02
49,0.001075816771417247,2022-11-03
50,0.0008389972895605697,2022-11-04
51,0.0006883373504440536,2022-11-05
52,0.0005836128455573829,2022-11-06
53,0.0005397894170924645,2022-11-07
54,0.0005675172204652775,2022-11-08
55,0.00066160731659856,2022-11-09
56,0.0007901690875490077,2022-11-10
57,0.0010152809482853393,2022-11-11
58,0.0008835973375986791,2022-11-12
59,0.0007128394844366958,2022-11-13
60,0.0005952890792291221,2022-11-14
61,0.0005278420662345628,2022-11-15
