,Sync committee reward,date
0,0.9979067324669699,2022-09-15
1,0.9981940464315731,2022-09-16
2,0.9985082018064262,2022-09-17
3,0.9988347065019705,2022-09-18
4,0.99885219495744,2022-09-19
5,0.9985449329564984,2022-09-20
6,0.9982172014309967,2022-09-21
7,0.9978833816703288,2022-09-22
8,0.9978029136949149,2022-09-23
9,0.9981136698412585,2022-09-24
10,0.998437653676818,2022-09-25
11,0.9987668859612402,2022-09-26
12,0.9988695976740289,2022-09-27
13,0.9986339912211395,2022-09-28
14,0.9983096550383614,2022-09-29
15,0.9980025923435507,2022-09-30
16,0.9977472579597166,2022-10-01
17,0.9980443498968796,2022-10-02
18,0.9983790565111421,2022-10-03
19,0.9987064802312811,2022-10-04
20,0.9988739239153082,2022-10-05
21,0.9987260839350287,2022-10-06
22,0.9984118373495039,2022-10-07
23,0.9981062611209841,2022-10-08
24,0.997781898191276,2022-10-09
25,0.9979820791215108,2022-10-10
26,0.9982966973972773,2022-10-11
27,0.998612357366877,2022-10-12
28,0.9988723597518372,2022-10-13
29,0.9988215028045953,2022-10-14
30,0.9984941578561168,2022-10-15
31,0.9981775831080524,2022-10-16
32,0.9978788817042286,2022-10-17
33,0.9979221539254928,2022-10-18
34,0.9982458613427769,2022-10-19
35,0.998566321218753,2022-10-20
36,0.998858036074594,2022-10-21
37,0.9988800535080085,2022-10-22
38,0.9985958808712934,2022-10-23
39,0.9982870045074717,2022-10-24
40,0.9979789538449111,2022-10-25
41,0.9978541114313628,2022-10-26
42,0.9981925133182021,2022-10-27
43,0.9984932018808517,2022-10-28
44,0.9987989321936059,2022-10-29
45,0.998909047732295,2022-10-30
46,0.998712135362587,2022-10-31
47,0.9984066078047122,2022-11-01
48,0.998098529125087,2022-11-02
49,0.9978325614595267,2022-11-03
50,0.9981312949759567,2022-11-04
51,0.9984383463904078,2022-11-05
52,0.9987424515626346,2022-11-06
53,0.9989171093165532,2022-11-07
54,0.9987963828005029,2022-11-08
55,0.9984938218283124,2022-11-09
56,0.9982107089468326,2022-11-10
57,0.9979074922397033,2022-11-11
58,0.9980684003726243,2022-11-12
59,0.9983752554984706,2022-11-13
60,0.9986841688929211,2022-11-14
61,0.9989390370866567,2022-11-15
